,label,review
6543,0,差评，11点14订餐，13点20饭才到，2个小时才把我的午饭送到，而且还是打了2次客服电话，1次投诉电话才给送来，要是不打电话都不知道几点能吃上午饭？
7947,0,我让多加汁也没加，怎么吃啊？干了吧唧的
9223,0,慢，多远的距离，那么长时间
8579,0,盒子很精致，味道还好。整体不错
9754,0,餐呢？就为了不半价，餐没送来就确认了？必须投诉
4310,0,不管口味如何，送了两个多小时，不骂街我已经是素质好了
10980,0,总是很晚送到
9976,0,"不好吃,饭根本不像饭,难吃的咽不下去"
9517,0,除了速度慢，其他都挺好。速度忒慢了，等了一个小时二十分钟。
5300,0,"超级无敌慢,等了整整三个小时"
4010,0,点了200多块吧，整份鱿鱼卷只有3个，土豆片没见到，丝瓜没见到，总之整份比平时半份还少，不建议一次点很多，三种菜品和十几种菜品都是同规格的打包盒，不会再点了。
7951,0,点了2份单个狮子头，送来就1个。而且还是放在单点的米饭里。好吧，这个混放其实无所谓...然而少一个。
11139,0,送餐不守时，理由一大堆，太难吃。0分
11925,0,我想说的是，正如评价说的，一点都不好吃！一送来，整个家都臭了，还有那个酸笋太难吃了！！！以前在桂林米粉吃的超好吃！这个一点酸味没有，而且感觉快坏了
10818,0,太慢了，送了两个小时
7121,0,这么点菜是几个意思？！气死了。一次比一次少，店家欺人太甚。
4237,0,送餐为啥我要下楼拿。。但是味道还好份量很足。
9935,0,晚了一个小时才到
9107,0,味道很差，饭很油
6195,0,快递员辛苦了！就是眉州东坡现在是在提倡环保么？啊！连个筷子也不给！餐巾纸也不给？！难道我今天要是不在家就要拿手抓着吃么！
4352,0,垃圾食品吃完中毒啦！！！！！！
11806,0,太气愤了，送餐送到小区门口，跟我说车没电了，进不来，要去自己拿，态度超级差，还和我嚷！
5184,0,为什么感觉肉臭臭的…感觉整个人都不太好…
4060,0,"煎蛋，香肠还行。肥牛太老！！菜花难吃！,最sb的可乐是热的，一打开喷的到处都是！,盐酥鸡上面的面太厚太硬！！"
6236,0,赠品没有送来！！已经是第三次没送赠品了
6638,0,"定了两个只送了这个,送餐的开始还不想给我送上来,让我自己下去取,我要是有时间下去吃饭干嘛要订外卖"
7771,0,"没评价,等它来都饿的不行了,小俩小时,呵呵了"
9233,0,肉少也就算了，全都是皮算怎么回事？配送态度不错，说电车没电了，但还是整整等了快俩钟头，再也不买了。
5455,0,飘香肘子卷，里面不是肘子，就是很普通的炖肉，半生不熟的，看着就没食欲。一口下去，唯一的感觉就是：难吃到没朋友！吃了三口，实在受不了就给扔了；包装倒是高端大气，不禁让我联想到老板肯定是把店里的主要资金花在包装纸袋上了
7590,0,"11:23定的餐,1:27打电话告诉我还需要等20分钟,愤怒之下退餐,居然完成了？？？骗了我45块钱,这么垃圾的店,打电话解决,找不到百度,跟他说他说他处理,到现在都没给我退钱,ca,招我我就上你店里要去⋯⋯"
9383,0,虽然快递小哥送来单时连连道歉，但是也夸张到等了两个小时。等待期间我打了两次商家电话都是先是没人接，后提示电话是空号。另外我的备注，快递小哥表示并没有理睬。给两颗星是多还是少？
11294,0,下单后等了一个半小时，要是平时上班这个送餐速度估计我连饭都吃不上了！
10360,0,"肉是糊的,吃多了致癌"
10763,0,凉皮还可以，就是觉得太辣了
8677,0,百度外卖千万别定了！这家餐厅也千万别定了！极其不靠谱！
8376,0,菜不怎么好吃，就是包装盒子看着挺好看
10885,0,有机菜花里有虫子
10390,0,73分钟了，显示取餐时间是13点12分，从右安门到牛街需要73分钟吗，极差
5994,0,没给我可乐
4274,0,送的挺快，半小时吧就到了，但是味道不太好吃
8712,0,为什么没给我开发票？？
6262,0,给的超级少，那么大一个盒子装了不到一半，连牛肉的影子都没看见，再也不来了
7418,0,菜煮烂了，鸡肉很多都是骨头
5212,0,不太好吃，没味，凉了
6109,0,套餐里的可乐送到都洒了，有半杯在塑料带里，真是够了！都泡了！
11177,0,相当差劲，炒的鸡蛋炒饼感觉都坏啦，牛肉18元就几块太少。木耳的量还可以。
9334,0,他们家的菜肉普遍偏少
7560,0,包饺子太慢，让我等了一小时
7790,0,点的大杯，打开一看就一半，连小杯的量都算不上
10710,0,今天送餐很慢，用时一小时10分钟，送过肉夹馍都凉了，好腥。希望下次会快点。
8365,0,不新鲜拉肚子了，难受
8263,0,宫爆鸡丁太难吃了
10970,0,今天送餐时间还不错。就是小炒肉没几片肉，尖椒辣得没法吃。以后再也不订这家外卖了！
8017,0,呵呵，我11点40下的单，送的时已经13点20，送来的米线也软了，我真醉了
6808,0,哎，要的不辣的，结果送来的超辣
10232,0,1小时27分钟送到，没有折扣，就是等
9550,0,"我点的尖椒土豆丝给做成醋溜土豆丝了,酸死了,麻婆豆腐还可以,这次百度骑士导航坏了,送餐比较慢"
6230,0,口味比之前差多了！换厨师了吗？
7375,0,請不要拿放很久的冰品飲料欺騙消費者，喝的時候都是水味
8683,0,味道不错，但配送稍慢
8170,0,汉堡非常小，鸡块超难吃，有股药味儿!
4238,0,八宝菜竟然是咸菜。。。太坑
9658,0,不满意的一次外卖
6930,0,收了我2块钱餐盒费然后，不给我拿餐盒和筷子，什么饭店呀？
9717,0,12：20订单的，13：38餐才到。等的都不想要了
8174,0,非常一般，还不给够发票
6915,0,量特别大，但味道太一般！
10311,0,翻遍了米线也没找到肥牛啊！
6153,0,13元的煎饼口味也不是很特别，送餐85分钟，距离1公里，不知道这服务以后怎么做外卖
7213,0,小炒肉肉不多又肥不说，关键是肉质有异味了，也不知道放了多久，都没敢吃了。小葱摊鸡蛋分量较足，味道也行。米饭一个盒饭大小，不算少。
7864,0,不好，没有以前好吃了，送餐太慢，5点多定的，7点多才到
9516,0,还可以，喜欢吃素的。
11542,0,蒸蛋分量大
4417,0,鱼香肉丝味道完全不对，饼很硬
9940,0,预计到达时间17分钟后联系的我，我已出去办事，没有吃到。
11953,0,下了单说一个小时之后送，过了一个小时送餐员打电话又说晚15分钟，而且态度不好！味道也一般，跟小螺号比差远了，再也不点了
7625,0,等了快三个小时才吃到饭，这已经是第四次了，订完还特意给总部打电话说快给我下单到分店，没想到忽悠人呢，菜品量越来越少也是，大差评！！
6522,0,送餐超级慢，味道还可以
11868,0,10点50订的，12点半才送来，都凉了
10404,0,"订的是虾排,餐来了一看居然是炸虾片=,=,这是让我怀念童年么"
10646,0,主题太硬了吧？腐竹还凑合
6390,0,"菜量少,炒猫耳朵有味了"
5375,0,土豆肉丝并没有看到肉丝。。。
8715,0,"不好吃,不好吃,非常不好吃"
6688,0,"我希望下次再送的时候,把饭拿稳了,我打开的时候都散了"
7165,0,这次的丸子做的没有味道！
5349,0,订了一份餐，1个半小时才送，本来和同事一起定的，只送了一份，还说让我们自己联系，没见过这么差的送餐
11733,0,味道一般，面只有辣、麻，土豆丝没味道
4562,0,"难吃死了,饭菜里面那是甜面酱？好难吃……不像是拌饭,有点像是盖饭……甜兮兮的,不好吃"
11429,0,有史以来最糟糕的一次外卖，下午5点下单，晚上8点才送到！期间我还打了10多个电话！只接了3个，全部都是敷衍搪塞的说辞！好不容易餐到了还要我自己冒雨走一大段路去取！希望百度不要再和这样的无良商家合作！
7522,0,菜品不错，送的太慢，两个小时，菜都凉啦！
8671,0,、天气越来越凉了，希望饭菜别凉嗖嗖的
8234,0,和送餐师傅关系不大，问题是商家没有装够东西，漏放了大薯条，最后补了一个，感觉不像大薯，应该还是中号薯条。习惯好评。没有给差评的习惯。第一次给三颗星。
11407,0,金针菇咸的发苦
11135,0,较之前还是吃的时候腊肉量偏少，不知是不是商家减量还是偶然的情况
4762,0,好吃的都慢
7315,0,"超级恶心,取了半个小时,送了45分钟,不给打电话还不给送呢,张嘴就瞎话,说在楼底下了,出去等半天也没人,还差3分钟就半价了,早知道不尼玛给你打电话了,直接半价拉倒,星冰乐一点冰都没有了,奶油也全泡没了,咖啡也洒了点,最快一次一人13分钟送来了,你TM送了1个半小时,人比人得死,货比货得仍啊"
4999,0,"送餐有点慢,鸡肉有点腥,没吃完,量大"
8338,0,第一次尝试，不好吃，没有鳕鱼好吃
6371,0,尖椒土豆丝分量也太大了，吓我一跳，千万别点，难吃加分量小，失败的一次点餐，还让我等了一个多小时，哎…
5626,0,"少送了一份粥,还联系不到店家"
5541,0,时间超长，给的超少
10460,0,味道可以，量少。饭量大的不够吃
11623,0,爽口菜吃出了烟头
10612,0,菜量很小，味道一般
8913,0,送餐时间长，汤已经凉了，口感不好～
8083,0,点的意式荤劲十足爆牛堡，送的居然是德克萨斯烟熏汉堡，很差劲
9675,0,"送餐速度一般,味道还行可能时间稍长味道不正了"
8096,0,就薯条还行！其他都不怎么样！
11071,0,五十分钟送来面都妥了，第一次订餐半小时送到了，后来就不给力了
11677,0,太慢了，等了两个多小时
8008,0,下午2点下的订单，注明5点半送到。结果6点多打电话催才来，我问他你们家不按下单先后顺序送吗？答说不按。好吧，再也不点了。。。室友11点下的，12点40才到。另一个室友吃出了一个虫子。。。
10040,0,太慢，正一味订了好几次了就是慢。接不了这么多单，就暂停下啊，太耽误事儿了
5886,0,送的这么慢还请假啥。
4019,0,今天送的很快，快递员态度好，味道很好
9125,0,恶意点确认，菜未送到，提前点击确认。
11360,0,"别的先不说了，我餐给我送丢了。。丢了你敢信？我在下面等了10多分钟，跟煞笔似的，送餐小哥让我联系前台，前台让我问小哥。。等我上楼，屁股还没挨着椅子，又打电话告诉我撕错单子了。。用一句文明用语，i,really,ri,le,uzi。。"
5403,0,够久的，以后不会再买了，等了快两个小时。。。
6313,0,辣油很重，慎点~
9894,0,134分钟，一部霍3都看完了，店家电话根本打不通！第一次订外卖遇到这样的！
8987,0,"说了不要香菇,不要香菇,看不看单子啊！！！"
10501,0,排骨只有三块！两道菜都好苦！
4266,0,一个字，慢
4852,0,哇。。还好是满减买的，原价买的要哭死的了。。。一手的面皮肉好少
7880,0,疙瘩汤放鸡精太多了
6816,0,牛蛙就三块.真的
10799,0,羊肉泡馍太咸了啊
5250,0,额。两个小时送来也就算了，我也认了。可是点的南瓜粥呢？？？？希望给个解释。。。
8503,0,"丽华不论百度平台或官网上订餐,现在送餐速度越来越慢,菜品质量和数量相比去年有明显缩水"
10195,0,选了要发票，但却没有
5664,0,"太糟了。等了两个小时,牛肉我吃的快吐了,再也不可能第二次"
11956,0,少了绿豆沙，最近是怎么了，钱都网上付了可老是少东西，外卖送来的的点菜单上就没打上绿豆沙
8747,0,看到不贵，结果超级少，超级不好吃，再也不定了
11099,0,"太慢了,我等了一个多小时才送到"
10988,0,菜凉了就忽略不计了，最搓火的是辣椒都柴了好像都没有炒熟。真是痛苦的订餐经历！！！
